r_h1,r_h2,r_h2_random,r_full,n_h1,n_h2,n_h1_selected,n_h2_selected,mu,frac,knn,graph,purity_h2,n_cc_h2,cell,state,protocol,train_dom,seed
-0.16995582876276896,-0.22253967623409188,0.7415634840059058,0.6648520148243476,4693,4719,469,471,0.0,0.1,10,knn,0.7750527705175118,15,FL_band_AE_s0,FL,band,AE,0
-0.17360751813361747,-0.24004749945418966,0.7415634840059058,0.6648520148243476,4693,4719,469,471,10.0,0.1,10,knn,0.8356855111373362,9,FL_band_AE_s0,FL,band,AE,0
